Eye Direction,Emotion,Gesture
Center,fear,No Hand Detected
Center,fear,No Hand Detected
Center,fear,No Hand Detected
Center,fear,No Hand Detected
Center,angry,No Hand Detected
Center,fear,No Hand Detected
Center,fear,No Hand Detected
Center,fear,No Hand Detected
Center,fear,No Hand Detected
Center,angry,No Hand Detected
Center,fear,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,fear,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,fear,No Hand Detected
Center,fear,No Hand Detected
Center,angry,No Hand Detected
Center,fear,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,happy,No Hand Detected
Center,angry,No Hand Detected
Center,happy,No Hand Detected
Center,happy,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,neutral,No Hand Detected
Center,angry,No Hand Detected
Center,happy,No Hand Detected
Center,happy,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,fear,No Hand Detected
Center,fear,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,neutral,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,neutral,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,happy,No Hand Detected
Center,neutral,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,happy,No Hand Detected
Center,happy,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,happy,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,happy,No Hand Detected
Center,angry,No Hand Detected
Center,happy,No Hand Detected
Center,happy,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,happy,No Hand Detected
Center,angry,No Hand Detected
Center,neutral,No Hand Detected
Center,angry,No Hand Detected
Center,happy,No Hand Detected
Center,angry,No Hand Detected
Center,happy,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,happy,No Hand Detected
Center,angry,No Hand Detected
Center,happy,No Hand Detected
Center,happy,No Hand Detected
Center,angry,No Hand Detected
Center,happy,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,neutral,No Hand Detected
Center,happy,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,neutral,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,sad,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,neutral,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,happy,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,neutral,No Hand Detected
Center,angry,No Hand Detected
Center,happy,No Hand Detected
Center,happy,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,happy,No Hand Detected
Center,neutral,No Hand Detected
Center,happy,No Hand Detected
Center,angry,No Hand Detected
Center,neutral,No Hand Detected
Center,happy,No Hand Detected
Center,angry,No Hand Detected
Center,happy,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,happy,No Hand Detected
Center,happy,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,neutral,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Looking Up ⬆️,angry,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,sad,No Hand Detected,None
Looking Up ⬆️,sad,No Hand Detected,None
Looking Up ⬆️,sad,No Hand Detected,None
Looking Up ⬆️,sad,No Hand Detected,None
Looking Up ⬆️,sad,No Hand Detected,None
Looking Up ⬆️,sad,No Hand Detected,None
Looking Up ⬆️,sad,No Hand Detected,None
Looking Up ⬆️,sad,No Hand Detected,None
Looking Up ⬆️,sad,No Hand Detected,None
Looking Up ⬆️,sad,No Hand Detected,None
Looking Up ⬆️,sad,No Hand Detected,None
Looking Up ⬆️,sad,No Hand Detected,None
Looking Up ⬆️,sad,No Hand Detected,None
Looking Up ⬆️,sad,No Hand Detected,None
Looking Up ⬆️,sad,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
